,county,state,hazard score,wildfire,tornado,landslide,hurricane,earthquake,drought,heatwave,avalanche,flood
2039,Grand Traverse County,MI,7,1,1,1,0,1,0,2,0,1
2040,Grand Isle County,VT,7,1,0,1,0,2,0,2,0,1
2041,Grand Forks County,ND,9,1,2,1,0,1,0,1,0,3
2042,Grand County,CO,13,1,1,3,0,2,0,2,3,1
2043,Grand County,UT,10,2,1,2,0,2,0,2,0,1
2044,Grainger County,TN,12,2,1,3,0,2,0,2,0,2
2045,Graham County,KS,7,1,2,1,0,1,0,1,0,1
2046,Graham County,NC,10,1,1,3,1,2,0,1,0,1
2047,Graham County,AZ,10,3,0,1,1,1,1,1,0,2
2048,Grafton County,NH,10,1,1,2,1,2,0,1,0,2
2049,Grady County,OK,13,1,3,1,1,2,0,3,0,2
2050,Grady County,GA,14,3,2,1,3,1,0,3,0,1
2051,Gove County,KS,7,1,2,1,0,1,0,1,0,1
2052,Gosper County,NE,8,1,2,1,0,1,0,2,0,1
2053,Goshen County,WY,8,2,2,1,0,1,0,1,0,1
2054,Gordon County,GA,15,2,2,2,2,2,0,3,0,2
2055,Gooding County,ID,9,3,1,1,0,1,0,2,0,1
2056,Goodhue County,MN,9,1,1,2,0,1,0,2,0,2
2057,Goochland County,VA,12,1,2,1,2,2,0,1,0,3
2058,Gonzales County,TX,11,1,1,1,2,1,0,3,0,2
2059,Goliad County,TX,9,1,1,1,2,1,0,2,0,1
2060,Golden Valley County,ND,7,1,1,2,0,1,0,1,0,1
2061,Golden Valley County,MT,7,1,0,3,0,1,0,1,0,1
2062,Gogebic County,MI,6,1,1,1,0,1,0,1,0,1
2063,Glynn County,GA,16,3,2,1,3,1,0,3,0,3
2064,Gloucester County,VA,14,1,2,1,3,1,0,3,0,3
2065,Gloucester County,NJ,13,1,1,2,2,1,0,3,0,3
2066,Glenn County,CA,15,3,1,2,0,2,1,3,0,3
2067,Glasscock County,TX,7,1,1,1,0,1,0,2,0,1
2068,Glascock County,GA,12,3,0,1,3,1,0,3,0,1
2069,Gladwin County,MI,8,1,2,2,0,1,0,1,0,1
2070,Glades County,FL,15,3,1,1,3,1,0,3,0,3
2071,Glacier County,MT,9,2,1,1,0,2,0,2,0,1
2072,Gilpin County,CO,10,1,0,2,0,2,0,2,2,1
2073,Gilmer County,WV,11,1,1,3,0,1,0,2,0,3
2074,Gilmer County,GA,10,1,1,3,0,2,0,2,0,1
2075,Gilliam County,OR,12,3,1,2,0,2,1,2,0,1
2076,Gillespie County,TX,9,1,1,1,1,1,0,3,0,1
2077,Giles County,VA,9,1,0,3,0,1,0,2,0,2
2078,Giles County,TN,10,1,2,1,1,1,0,2,0,2
2079,Gilchrist County,FL,15,3,1,1,3,1,0,3,0,3
2080,Gila County,AZ,11,3,1,1,0,1,1,3,0,1
2081,Gibson County,TN,15,1,3,2,1,3,0,3,0,2
2082,Gibson County,IN,12,1,2,2,0,2,0,3,0,2
2083,Georgetown County,SC,14,3,1,1,3,2,0,3,0,1
2084,George County,MS,15,3,2,2,3,1,0,3,0,1
2085,Gentry County,MO,10,1,2,2,0,1,0,3,0,1
2086,Geneva County,AL,13,1,2,1,3,1,0,3,0,2
2087,Genesee County,MI,10,1,3,1,0,1,0,1,0,3
2088,Genesee County,NY,7,1,1,2,0,1,0,1,0,1
2089,Gem County,ID,10,3,1,1,0,2,0,1,1,1
2090,Geauga County,OH,8,1,2,2,0,1,0,1,0,1
2091,Geary County,KS,11,2,2,1,0,1,0,3,0,2
2092,Gates County,NC,13,1,2,1,3,1,0,2,0,3
2093,Gaston County,NC,15,1,2,3,2,1,0,3,0,3
2094,Gasconade County,MO,9,1,1,1,0,1,0,3,0,2
2095,Garza County,TX,10,3,1,1,1,1,0,2,0,1
2096,Garvin County,OK,13,1,3,1,0,2,0,3,0,3
2097,Garrett County,MD,10,1,1,3,1,1,0,1,0,2
2098,Garrard County,KY,10,2,2,2,0,1,0,2,0,1
2099,Garland County,AR,12,1,3,2,1,1,0,3,0,1
2100,Garfield County,MT,7,1,1,2,0,1,0,1,0,1
2101,Garfield County,WA,8,2,1,1,0,1,1,1,0,1
2102,Garfield County,NE,6,1,1,1,0,1,0,1,0,1
2103,Garfield County,CO,10,3,0,3,0,2,0,1,0,1
2104,Garfield County,OK,10,1,3,1,1,1,0,1,0,2
2105,Garfield County,UT,10,2,1,2,0,2,0,1,1,1
2106,Garden County,NE,6,1,1,1,0,1,0,1,0,1
2107,Galveston County,TX,15,1,3,1,3,1,0,3,0,3
2108,Gallia County,OH,12,1,1,3,1,1,0,2,0,3
2109,Gallatin County,MT,10,2,1,2,0,2,0,1,1,1
2110,Gallatin County,IL,10,1,1,2,0,2,0,1,0,3
2111,Gallatin County,KY,10,1,2,2,0,1,0,1,0,3
2112,Galax County,VA,11,1,0,3,0,1,0,3,0,3
2113,Gaines County,TX,8,1,1,1,0,1,0,3,0,1
2114,Gage County,NE,9,1,3,1,0,1,0,2,0,1
2115,Gadsden County,FL,16,3,3,1,3,1,0,3,0,2
2116,Furnas County,NE,7,1,2,1,0,1,0,1,0,1
2117,Fulton County,OH,8,1,2,1,0,1,0,1,0,2
2118,Fulton County,IN,7,1,2,1,0,1,0,1,0,1
2119,Fulton County,IL,9,1,3,2,0,1,0,1,0,1
2120,Fulton County,NY,7,1,1,1,1,1,0,1,0,1
2121,Fulton County,PA,10,1,1,3,2,1,0,1,0,1
2122,Fulton County,KY,12,1,2,3,0,3,0,1,0,2
2123,Fulton County,AR,9,1,2,1,1,2,0,1,0,1
2124,Fulton County,GA,12,1,3,2,1,1,0,1,0,3
2125,Frontier County,NE,8,1,2,1,0,1,0,2,0,1
2126,Frio County,TX,8,1,1,1,1,1,0,2,0,1
2127,Fresno County,CA,17,2,1,2,0,3,3,3,0,3
2128,Fremont County,ID,10,2,1,1,0,2,0,2,1,1
2129,Fremont County,IA,10,1,3,2,0,1,0,2,0,1
2130,Fremont County,WY,9,1,1,2,0,2,0,2,0,1
2131,Fremont County,CO,9,1,1,2,0,1,0,2,1,1
2132,Freestone County,TX,10,1,1,1,2,1,0,3,0,1
2133,Freeborn County,MN,10,1,3,1,0,1,0,2,0,2
2134,Fredericksburg County,VA,15,1,3,2,3,1,0,2,0,3
2135,Frederick County,VA,13,2,2,3,2,1,0,2,0,1
2136,Frederick County,MD,13,1,3,2,2,1,0,2,0,2
2137,Franklin County County,VA,12,1,1,3,2,1,0,2,0,2
2138,Franklin City County,VA,11,1,3,1,0,1,0,2,0,3
2139,Franklin County,IA,8,1,2,1,0,1,0,2,0,1
2140,Franklin County,MA,11,1,2,2,2,1,0,2,0,1
2141,Franklin County,ID,9,2,1,1,0,2,0,2,0,1
2142,Franklin County,WA,8,1,1,1,0,2,0,2,0,1
2143,Franklin County,ME,10,1,1,2,2,1,0,2,0,1
2144,Franklin County,VT,9,1,1,2,0,2,0,2,0,1
2145,Franklin County,NY,9,1,1,1,1,2,0,2,0,1
2146,Franklin County,NE,8,1,2,1,0,1,0,2,0,1
2147,Franklin County,PA,12,1,1,3,2,1,0,2,0,2
2148,Franklin County,OH,11,1,3,1,0,1,0,2,0,3
2149,Franklin County,AR,11,2,2,2,1,1,0,2,0,1
2150,Franklin County,KS,10,1,3,1,0,1,0,2,0,2
2151,Franklin County,MO,11,1,1,2,0,2,0,2,0,3
2152,Franklin County,KY,10,1,2,1,0,1,0,2,0,3
2153,Franklin County,IN,9,1,1,2,0,1,0,2,0,2
2154,Franklin County,IL,9,1,1,2,0,2,0,2,0,1
2155,Franklin County,NC,12,2,1,1,3,1,0,2,0,2
2156,Franklin County,TX,11,2,2,2,1,1,0,2,0,1
2157,Franklin County,FL,15,3,2,1,3,1,0,2,0,3
2158,Franklin Parish,LA,12,1,3,2,2,1,0,2,0,1
2159,Franklin County,AL,11,1,2,2,1,2,0,2,0,1
2160,Franklin County,GA,12,2,3,3,0,1,0,2,0,1
2161,Franklin County,TN,11,1,2,2,1,2,0,2,0,1
2162,Franklin County,MS,13,3,2,2,2,1,0,2,0,1
2163,Fountain County,IN,7,1,1,1,0,1,0,2,0,1
2164,Foster County,ND,6,1,1,1,0,1,0,1,0,1
2165,Fort Bend County,TX,15,1,3,1,3,1,0,3,0,3
2166,Forsyth County,NC,15,1,3,3,2,1,0,3,0,2
2167,Forsyth County,GA,13,1,2,3,0,1,0,3,0,3
2168,Forrest County,MS,17,3,3,2,2,1,0,3,0,3
2169,Forest County,PA,8,1,1,3,0,1,0,1,0,1
2170,Forest County,WI,6,1,1,1,0,1,0,1,0,1
2171,Ford County,IL,9,1,2,2,0,1,0,2,0,1
2172,Ford County,KS,10,1,3,1,0,1,0,2,0,2
2173,Fond du Lac County,WI,10,1,3,2,0,1,0,1,0,2
2174,Foard County,TX,8,1,2,1,0,1,0,2,0,1
2175,Fluvanna County,VA,13,1,1,2,2,2,0,2,0,3
2176,Floyd County,IA,8,1,2,1,0,1,0,2,0,1
2177,Floyd County,IN,10,1,3,1,0,1,0,2,0,2
2178,Floyd County,VA,10,1,1,3,1,1,0,2,0,1
2179,Floyd County,KY,12,1,0,3,2,1,0,2,0,3
2180,Floyd County,TX,8,1,2,1,0,1,0,2,0,1
2181,Floyd County,GA,16,3,2,3,1,2,0,2,0,3
2182,Florence County,WI,8,1,1,1,0,1,0,3,0,1
2183,Florence County,SC,15,2,3,1,2,2,0,3,0,2
2184,Fleming County,KY,9,1,1,2,1,1,0,2,0,1
2185,Flathead County,MT,13,3,1,1,0,2,0,1,2,3
2186,Flagler County,FL,16,3,2,1,3,1,0,3,0,3
2187,Fisher County,TX,9,1,3,1,0,1,0,2,0,1
2188,Finney County,KS,8,1,3,1,0,1,0,1,0,1
2189,Fillmore County,MN,8,1,1,2,0,1,0,2,0,1
2190,Fillmore County,NE,8,1,2,1,0,1,0,2,0,1
2191,Ferry County,WA,10,3,1,1,0,1,0,3,0,1
2192,Fergus County,MT,8,1,1,3,0,1,0,1,0,1
2193,Fentress County,TN,12,1,2,3,1,1,0,3,0,1
2194,Fayette County,PA,10,1,1,3,1,1,0,2,0,1
2195,Fayette County,IA,9,1,2,2,0,1,0,2,0,1
2196,Fayette County,WV,11,1,1,3,1,1,0,2,0,2
2197,Fayette County,KY,10,1,2,1,1,1,0,2,0,2
2198,Fayette County,IN,9,1,2,1,0,1,0,2,0,2
2199,Fayette County,OH,8,1,2,1,0,1,0,2,0,1
2200,Fayette County,IL,8,1,1,1,0,2,0,2,0,1
2201,Fayette County,TX,11,1,2,1,1,1,0,2,0,3
2202,Fayette County,TN,11,1,2,1,1,2,0,2,0,2
2203,Fayette County,AL,14,2,3,2,2,2,0,2,0,1
2204,Fayette County,GA,11,1,1,1,2,1,0,2,0,3
2205,Fauquier County,VA,12,1,2,3,2,1,0,2,0,1
2206,Faulkner County,AR,15,1,3,3,0,2,0,3,0,3
2207,Faulk County,SD,6,1,1,1,0,1,0,1,0,1
2208,Faribault County,MN,7,1,1,1,0,1,0,2,0,1
2209,Fannin County,TX,12,1,3,2,1,1,0,3,0,1
2210,Fannin County,GA,13,1,1,3,1,2,0,3,0,2
2211,Falls Church County,VA,10,1,0,1,3,1,0,2,0,2
2212,Falls County,TX,11,1,1,2,2,1,0,3,0,1
2213,Fallon County,MT,7,1,1,2,0,1,0,1,0,1
2214,Fall River County,SD,10,3,1,3,0,1,0,1,0,1
2215,Fairfield County,CT,10,1,1,1,2,1,0,1,0,3
2216,Fairfield County,OH,9,1,2,1,0,1,0,1,0,3
2217,Fairfield County,SC,14,3,2,2,2,2,0,1,0,2
2218,Fairfax County County,VA,12,1,3,1,2,1,0,2,0,2
2219,Fairfax City County,VA,11,1,3,1,0,1,0,2,0,3
2220,Evans County,GA,12,3,1,1,3,1,0,2,0,1
2221,Evangeline Parish,LA,11,1,2,1,2,1,0,3,0,1
2222,Eureka County,NV,12,3,1,1,0,2,0,2,0,3
2223,Etowah County,AL,15,1,3,3,2,2,0,2,0,2
2224,Estill County,KY,13,1,2,2,2,1,0,2,0,3
2225,Essex County,MA,13,1,2,1,3,2,0,1,0,3
2226,Essex County,NY,9,1,1,2,1,2,0,1,0,1
2227,Essex County,VT,7,1,1,1,1,1,0,1,0,1
2228,Essex County,NJ,11,1,1,1,2,2,0,1,0,3
2229,Essex County,VA,11,1,1,1,3,1,0,1,0,3
2230,Esmeralda County,NV,11,1,1,1,0,2,2,3,0,1
2231,Escambia County,AL,15,3,2,1,3,1,0,3,0,2
2232,Escambia County,FL,17,3,3,1,3,1,0,3,0,3
2233,Erie County,OH,9,1,3,1,0,1,0,1,0,2
2234,Erie County,NY,7,1,1,1,0,1,0,1,0,2
2235,Erie County,PA,9,1,2,1,1,1,0,1,0,2
2236,Erath County,TX,11,3,2,1,0,1,0,3,0,1
2237,Emporia County,VA,12,1,0,1,3,1,0,3,0,3
2238,Emmons County,ND,8,1,2,2,0,1,0,1,0,1
2239,Emmet County,IA,7,1,2,1,0,1,0,1,0,1
2240,Emmet County,MI,6,1,1,1,0,1,0,1,0,1
2241,Emery County,UT,11,1,1,2,0,2,0,3,1,1
2242,Emanuel County,GA,12,3,1,1,2,1,0,3,0,1
2243,Elmore County,ID,9,3,1,1,0,2,0,1,0,1
2244,Elmore County,AL,11,1,2,1,2,1,0,1,0,3
2245,Ellsworth County,KS,10,2,3,2,0,1,0,1,0,1
2246,Ellis County,KS,10,1,3,2,0,1,0,2,0,1
2247,Ellis County,OK,9,1,3,1,0,1,0,2,0,1
2248,Ellis County,TX,13,1,3,3,1,1,0,2,0,2
2249,Elliott County,KY,11,1,1,3,1,1,0,3,0,1
2250,Elko County,NV,10,3,1,1,0,2,0,2,0,1
2251,Elkhart County,IN,9,1,2,1,0,1,0,2,0,2
2252,Elk County,PA,8,1,1,3,0,1,0,1,0,1
2253,Elk County,KS,8,2,2,1,0,1,0,1,0,1
2254,Elbert County,CO,8,1,2,2,0,1,0,1,0,1
2255,Elbert County,GA,13,2,2,3,2,2,0,1,0,1
2256,El Paso County,CO,9,1,2,2,0,1,0,2,0,1
2257,El Paso County,TX,10,1,1,1,0,2,0,2,0,3
2258,El Dorado County,CA,14,3,1,1,0,2,1,3,2,1
2259,Effingham County,IL,11,1,3,1,0,2,0,3,0,1
2260,Effingham County,GA,16,3,2,1,3,2,0,3,0,2
2261,Edwards County,IL,9,1,1,2,0,2,0,2,0,1
2262,Edwards County,KS,11,1,3,2,0,1,0,2,0,2
2263,Edwards County,TX,8,1,1,1,1,1,0,2,0,1
2264,Edmunds County,SD,6,1,1,1,0,1,0,1,0,1
2265,Edmonson County,KY,11,1,1,1,1,1,0,3,0,3
2266,Edgefield County,SC,15,3,2,1,2,2,0,3,0,2
2267,Edgecombe County,NC,12,1,1,1,2,1,0,3,0,3
2268,Edgar County,IL,8,1,2,1,0,1,0,2,0,1
2269,Eddy County,ND,6,1,1,1,0,1,0,1,0,1
2270,Eddy County,NM,6,1,1,1,0,1,0,1,0,1
2271,Ector County,TX,10,1,2,1,0,1,0,3,0,2
2272,Echols County,GA,13,3,1,1,3,1,0,3,0,1
2273,Eau Claire County,WI,9,1,2,1,0,1,0,2,0,2
2274,Eaton County,MI,9,1,3,1,0,1,0,1,0,2
2275,Eastland County,TX,12,3,3,1,0,1,0,3,0,1
2276,East Feliciana Parish,LA,14,2,2,2,3,1,0,3,0,1
2277,East Carroll Parish,LA,13,1,3,2,2,1,0,3,0,1
2278,East Baton Rouge Parish,LA,16,1,3,2,3,1,0,3,0,3
2279,Early County,GA,11,2,2,1,2,1,0,2,0,1
2280,Eagle County,CO,12,2,1,3,0,2,0,3,0,1
2281,Dyer County,TN,16,1,3,3,0,3,0,3,0,3
2282,Duval County,TX,9,1,1,1,2,1,0,2,0,1
2283,Duval County,FL,15,2,3,1,3,1,0,2,0,3
2284,Dutchess County,NY,11,1,1,2,2,1,0,1,0,3
2285,Durham County,NC,15,1,2,2,3,1,0,3,0,3
2286,Duplin County,NC,11,1,2,1,3,1,0,2,0,1
2287,DuPage County,IL,10,1,3,2,0,1,0,2,0,1
2288,Dunn County,ND,8,1,1,3,0,1,0,1,0,1
2289,Dunn County,WI,7,1,1,1,0,1,0,1,0,2
2290,Dunklin County,MO,14,1,3,1,1,3,0,3,0,2
2291,Dundy County,NE,6,1,1,1,0,1,0,1,0,1
2292,Dukes County,MA,12,1,1,1,3,1,0,2,0,3
2293,Duchesne County,UT,12,2,1,1,0,2,0,3,2,1
2294,Dubuque County,IA,12,1,3,2,0,1,0,3,0,2
2295,Dubois County,IN,12,1,2,2,0,2,0,3,0,2
2296,Drew County,AR,10,1,2,1,1,1,0,3,0,1
2297,Douglas County,WA,9,2,1,1,0,2,0,2,0,1
2298,Douglas County,WI,7,1,1,1,0,1,0,2,0,1
2299,Douglas County,NE,11,1,3,1,0,1,0,2,0,3
2300,Douglas County,MN,8,1,2,1,0,1,0,2,0,1
2301,Douglas County,SD,8,1,2,1,0,1,0,2,0,1
2302,Douglas County,OR,11,3,0,2,0,2,0,2,0,2
2303,Douglas County,CO,11,2,3,1,0,1,0,2,0,2
2304,Douglas County,MO,8,1,2,1,0,1,0,2,0,1
2305,Douglas County,NV,14,3,0,1,0,3,2,2,0,3
2306,Douglas County,KS,12,1,3,2,0,1,0,2,0,3
2307,Douglas County,IL,9,1,3,1,0,1,0,2,0,1
2308,Douglas County,GA,11,1,2,2,0,1,0,2,0,3
2309,Dougherty County,GA,16,2,3,1,3,1,0,3,0,3
2310,Dorchester County,MD,10,1,1,1,2,1,0,1,0,3
2311,Dorchester County,SC,14,3,2,1,3,3,0,1,0,1
2312,Door County,WI,6,1,1,1,0,1,0,1,0,1
2313,Dooly County,GA,11,1,2,1,2,1,0,3,0,1
2314,Donley County,TX,12,3,3,1,0,1,0,3,0,1
2315,Doniphan County,KS,10,1,1,3,0,1,0,3,0,1
2316,Dolores County,CO,11,2,0,2,0,1,0,3,2,1
2317,Dodge County,NE,10,1,2,1,0,1,0,2,0,3
2318,Dodge County,MN,7,1,1,1,0,1,0,2,0,1
2319,Dodge County,GA,13,3,2,1,3,1,0,2,0,1
2320,Dodge County,WI,11,1,3,2,0,1,0,2,0,2
2321,Doddridge County,WV,9,1,1,3,0,1,0,2,0,1
2322,Do̱a Ana County,NM,8,1,1,1,0,1,0,3,0,1
2323,Dixon County,NE,8,1,2,1,0,1,0,2,0,1
2324,Dixie County,FL,15,3,1,1,3,1,0,3,0,3
2325,Divide County,ND,6,1,1,1,0,1,0,1,0,1
2326,District of Columbia County,DC,15,1,3,2,2,1,0,3,0,3
2327,Dinwiddie County,VA,9,1,1,1,2,1,0,2,0,1
2328,Dimmit County,TX,8,1,1,1,1,1,0,2,0,1
2329,Dillon County,SC,12,1,2,1,2,1,0,3,0,2
2330,Dickson County,TN,11,1,2,1,0,2,0,3,0,2
2331,Dickinson County,IA,8,1,3,1,0,1,0,1,0,1
2332,Dickinson County,KS,8,1,2,2,0,1,0,1,0,1
2333,Dickinson County,MI,6,1,1,1,0,1,0,1,0,1
2334,Dickey County,ND,6,1,1,1,0,1,0,1,0,1
2335,Dickenson County,VA,9,1,0,3,0,1,0,3,0,1
2336,Dickens County,TX,9,2,2,1,0,1,0,2,0,1
2337,DeWitt County,TX,10,1,1,1,2,1,0,3,0,1
2338,Dewey County,SD,8,1,1,3,0,1,0,1,0,1
2339,Dewey County,OK,8,1,3,1,0,1,0,1,0,1
2340,Deuel County,NE,8,1,2,1,0,1,0,2,0,1
2341,Deuel County,SD,8,1,2,1,0,1,0,2,0,1
2342,DeSoto County,FL,15,2,2,1,3,1,0,3,0,3
2343,DeSoto County,MS,16,1,3,2,2,2,0,3,0,3
2344,Desha County,AR,14,1,2,2,2,2,0,3,0,2
2345,Deschutes County,OR,11,3,1,1,0,2,0,2,1,1
2346,Des Moines County,IA,10,1,2,1,0,1,0,3,0,2
2347,Denver County,CO,11,1,3,1,0,1,0,2,0,3
2348,Denton County,TX,14,1,3,2,1,1,0,3,0,3
2349,Dent County,MO,10,1,1,1,1,2,0,3,0,1
2350,Delta County,CO,15,2,1,3,0,2,0,3,2,2
2351,Delta County,MI,8,1,1,1,0,1,0,3,0,1
2352,Delta County,TX,12,1,2,3,1,1,0,3,0,1
2353,Delaware County,IA,10,1,3,1,0,1,0,3,0,1
2354,Delaware County,NY,11,1,1,2,1,1,0,3,0,2
2355,Delaware County,OH,9,1,1,1,0,1,0,3,0,2
2356,Delaware County,IN,12,1,3,1,0,1,0,3,0,3
2357,Delaware County,PA,12,1,2,2,0,1,0,3,0,3
2358,Delaware County,OK,10,2,2,1,0,1,0,3,0,1
2359,Del Norte County,CA,13,3,1,3,0,3,0,2,0,1
2360,DeKalb County,IN,8,1,2,1,0,1,0,2,0,1
2361,DeKalb County,MO,10,1,2,3,0,1,0,2,0,1
2362,DeKalb County,TN,11,1,2,2,2,1,0,2,0,1
2363,DeKalb County,GA,12,1,2,2,1,1,0,2,0,3
2364,DeKalb County,AL,15,2,3,3,1,2,0,2,0,2
2365,DeKalb County,IL,8,1,1,1,0,1,0,2,0,2
2366,Defiance County,OH,7,1,1,2,0,1,0,1,0,1
2367,Deer Lodge County,MT,7,2,1,1,0,1,0,1,0,1
2368,Decatur County,IA,10,1,2,2,0,1,0,3,0,1
2369,Decatur County,TN,11,1,1,1,2,2,0,3,0,1
2370,Decatur County,KS,9,1,2,1,0,1,0,3,0,1
2371,Decatur County,IN,9,1,2,1,0,1,0,3,0,1
2372,Decatur County,GA,14,3,2,1,3,1,0,3,0,1
2373,Dearborn County,IN,12,1,2,3,0,1,0,3,0,2
2374,Deaf Smith County,TX,8,1,2,1,0,1,0,2,0,1
2375,De Witt County,IL,8,1,2,1,0,1,0,2,0,1
2376,De Soto Parish,LA,12,1,3,1,2,1,0,3,0,1
2377,De Baca County,NM,10,3,1,2,0,1,0,2,0,1
2378,Day County,SD,6,1,1,1,0,1,0,1,0,1
2379,Dawson County,MT,6,1,1,1,0,1,0,1,0,1
2380,Dawson County,NE,10,1,3,1,0,1,0,1,0,3
2381,Dawson County,TX,7,1,2,1,0,1,0,1,0,1
2382,Dawson County,GA,9,1,2,3,0,1,0,1,0,1
2383,Dawes County,NE,7,1,1,2,0,1,0,1,0,1
2384,Davison County,SD,10,1,3,1,0,1,0,2,0,2
2385,Davis County,UT,11,1,1,1,0,2,0,2,2,2
2386,Davis County,IA,9,1,2,2,0,1,0,2,0,1
2387,Daviess County,MO,10,1,2,2,0,1,0,3,0,1
2388,Daviess County,KY,14,1,3,2,0,2,0,3,0,3
2389,Daviess County,IN,11,1,2,2,0,2,0,3,0,1
2390,Davie County,NC,12,1,1,3,2,1,0,3,0,1
2391,Davidson County,NC,13,1,1,3,2,1,0,3,0,2
2392,Davidson County,TN,13,1,3,1,1,1,0,3,0,3
2393,Dauphin County,PA,13,1,2,2,2,1,0,2,0,3
2394,Darlington County,SC,12,1,2,1,2,2,0,3,0,1
2395,Darke County,OH,8,1,2,1,0,1,0,2,0,1
2396,Dare County,NC,15,3,2,1,3,1,0,2,0,3
2397,Danville County,VA,13,1,3,3,0,1,0,2,0,3
2398,Daniels County,MT,6,1,1,1,0,1,0,1,0,1
2399,Dane County,WI,11,1,2,2,0,1,0,2,0,3
2400,Dallas County,IA,11,1,3,2,0,1,0,2,0,2
2401,Dallas County,MO,7,1,1,1,0,1,0,2,0,1
2402,Dallas County,AL,12,1,2,1,2,1,0,2,0,3
2403,Dallas County,TX,13,1,3,2,1,1,0,2,0,3
2404,Dallas County,AR,12,3,2,1,2,1,0,2,0,1
2405,Dallam County,TX,6,1,1,1,0,1,0,1,0,1
2406,Dale County,AL,14,1,3,1,3,1,0,3,0,2
2407,Dakota County,NE,9,1,1,1,0,1,0,2,0,3
2408,Dakota County,MN,10,1,2,1,0,1,0,2,0,3
2409,Daggett County,UT,11,2,1,2,0,2,0,3,0,1
2410,Dade County,MO,9,1,2,1,0,1,0,3,0,1
2411,Dade County,GA,13,3,1,3,0,2,0,3,0,1
2412,Cuyahoga County,OH,9,1,2,1,0,1,0,1,0,3
2413,Custer County,NE,7,1,2,1,0,1,0,1,0,1
2414,Custer County,MT,6,1,1,1,0,1,0,1,0,1
2415,Custer County,SD,9,3,1,2,0,1,0,1,0,1
2416,Custer County,ID,10,3,1,2,0,2,0,1,0,1
2417,Custer County,OK,8,1,3,1,0,1,0,1,0,1
2418,Custer County,CO,9,1,1,2,0,2,0,1,1,1
2419,Curry County,OR,13,3,1,3,0,3,0,1,0,2
2420,Curry County,NM,9,2,2,2,0,1,0,1,0,1
2421,Currituck County,NC,11,1,1,1,3,1,0,1,0,3
2422,Cuming County,NE,9,1,3,1,0,1,0,2,0,1
2423,Cumberland County,PA,12,1,2,3,2,1,0,1,0,2
2424,Cumberland County,ME,10,1,1,2,2,2,0,1,0,1
2425,Cumberland County,TN,11,1,2,3,1,2,0,1,0,1
2426,Cumberland County,NJ,9,2,1,1,2,1,0,1,0,1
2427,Cumberland County,VA,10,1,1,1,2,2,0,1,0,2
2428,Cumberland County,IL,7,1,1,1,0,2,0,1,0,1
2429,Cumberland County,KY,12,1,2,2,2,1,0,1,0,3
2430,Cumberland County,NC,14,3,2,1,3,1,0,1,0,3
2431,Culpeper County,VA,11,1,2,2,2,1,0,2,0,1
2432,Cullman County,AL,13,1,3,3,1,1,0,3,0,1
2433,Culberson County,TX,7,1,1,1,0,1,0,2,0,1
2434,Crowley County,CO,7,1,1,2,0,1,0,1,0,1
2435,Crow Wing County,MN,6,1,1,1,0,1,0,1,0,1
2436,Cross County,AR,12,1,2,1,0,3,0,3,0,2
2437,Crosby County,TX,11,1,3,1,1,1,0,3,0,1
2438,Crook County,OR,8,3,0,2,0,1,0,1,0,1
2439,Crook County,WY,7,1,1,2,0,1,0,1,0,1
2440,Crockett County,TN,13,1,3,1,0,3,0,3,0,2
2441,Crockett County,TX,8,1,1,1,0,1,0,3,0,1
2442,Crittenden County,KY,13,1,3,1,0,2,0,3,0,3
2443,Crittenden County,AR,15,1,2,2,1,3,0,3,0,3
2444,Crisp County,GA,11,1,1,1,3,1,0,3,0,1
2445,Crenshaw County,AL,11,2,2,1,2,1,0,2,0,1
2446,Creek County,OK,10,1,3,1,0,1,0,3,0,1
2447,Crawford County,IA,10,1,2,3,0,1,0,2,0,1
2448,Crawford County,WI,8,1,1,1,0,1,0,2,0,2
2449,Crawford County,OH,8,1,2,1,0,1,0,2,0,1
2450,Crawford County,AR,10,2,2,2,0,1,0,2,0,1
2451,Crawford County,IL,9,1,2,1,0,2,0,2,0,1
2452,Crawford County,MO,8,1,1,1,0,2,0,2,0,1
2453,Crawford County,KS,9,1,3,1,0,1,0,2,0,1
2454,Crawford County,IN,9,1,2,2,0,1,0,2,0,1
2455,Crawford County,GA,12,3,2,1,2,1,0,2,0,1
2456,Crawford County,MI,8,2,1,1,0,1,0,2,0,1
2457,Crawford County,PA,9,1,2,1,1,1,0,2,0,1
2458,Craven County,NC,15,3,2,1,3,1,0,2,0,3
2459,Crane County,TX,8,1,1,1,0,1,0,3,0,1
2460,Craighead County,AR,12,1,2,1,0,3,0,3,0,2
2461,Craig County,OK,10,1,3,1,0,1,0,3,0,1
2462,Craig County,VA,9,1,0,3,0,1,0,3,0,1
2463,Cowlitz County,WA,9,1,1,2,0,2,0,1,0,2
2464,Cowley County,KS,11,2,2,1,0,1,0,3,0,2
2465,Coweta County,GA,15,2,3,1,2,1,0,3,0,3
2466,Covington County,VA,11,1,0,3,0,1,0,3,0,3
2467,Covington County,MS,17,3,3,2,3,1,0,3,0,2
2468,Covington County,AL,12,2,2,1,2,1,0,3,0,1
2469,Cottonwood County,MN,6,1,1,1,0,1,0,1,0,1
2470,Cotton County,OK,10,1,3,1,0,1,0,3,0,1
2471,Cottle County,TX,8,2,1,1,0,1,0,2,0,1
